,City,Lat,Lon,Cloudiness,Date,Humidity,Country,Wind Speed,Max Temp
387,svetlaya,46.54,138.33,100,1565579137,99,RU,2.35,58.12
388,kashi,39.45,75.98,0,1565579138,34,CN,6.71,78.8
389,changping,40.22,116.22,0,1565579140,58,CN,11.18,84.99
390,esqueda,30.72,-109.58,62,1565579141,69,MX,2.48,70.72
391,asau,46.43,26.4,0,1565579142,94,RO,3.36,70.0
392,zhuhai,22.28,113.57,20,1565578966,84,CN,11.41,93.0
393,vila velha,-20.33,-40.29,40,1565578946,83,BR,4.7,73.4
394,mahibadhoo,3.78,72.97,100,1565579146,74,MV,13.71,82.95
395,arroyos y esteros,-25.07,-57.1,41,1565579147,93,PY,3.36,62.6
396,lorengau,-2.02,147.27,91,1565578874,76,PG,3.51,81.87
397,daru,-9.08,143.21,100,1565579150,71,PG,9.91,79.9
398,lichtenburg,-26.15,26.16,0,1565579151,48,ZA,6.4,50.55
399,atasu,48.68,71.64,3,1565579152,26,KZ,13.58,76.84
400,hobyo,5.35,48.53,0,1565579153,75,SO,16.93,73.95
401,arman,59.7,150.17,89,1565579155,43,RU,2.19,69.64
402,kumbo,6.2,10.67,100,1565579156,93,CM,3.76,60.27
403,ust-barguzin,53.45,108.98,100,1565579157,79,RU,11.48,50.37
404,port macquarie,-31.43,152.92,90,1565579159,45,AU,14.99,66.99
405,jiayuguan,39.82,98.3,100,1565579160,23,CN,13.4,78.45
406,ruidoso,33.33,-105.67,33,1565579100,56,US,9.17,86.0
407,belmonte,-15.86,-38.88,75,1565579163,78,BR,4.7,75.2
408,haines junction,60.75,-137.51,100,1565579095,50,CA,3.49,61.0
409,halifax,44.65,-63.57,75,1565579048,72,CA,10.29,64.99
410,manjacaze,-24.71,33.88,0,1565579166,52,MZ,8.63,67.12
411,ismailia,30.6,32.27,0,1565578972,76,EG,0.96,68.74
412,privas,44.73,4.6,0,1565579169,72,FR,17.22,66.2
413,kavieng,-2.57,150.8,62,1565579170,70,PG,3.94,81.7
414,tchibanga,-2.85,11.03,4,1565579171,91,GA,2.15,65.85
415,luganville,-15.53,167.17,71,1565579173,68,VU,5.17,83.32
416,petauke,-14.24,31.33,0,1565579174,60,ZM,4.99,58.84
417,westport,41.14,-73.36,1,1565579175,64,US,3.36,72.0
418,marsh harbour,26.54,-77.06,85,1565579040,73,BS,13.15,85.47
419,batagay-alyta,67.8,130.41,0,1565579178,39,RU,9.69,65.67
420,kwinana,-32.25,115.77,0,1565579179,40,AU,16.11,71.01
421,road town,18.42,-64.62,40,1565579180,74,VG,9.17,82.4
422,conakry,9.54,-13.68,100,1565579182,82,GN,9.95,77.92
423,honolulu,21.31,-157.86,90,1565578909,69,US,6.93,89.6
424,padang,-0.95,100.35,100,1565578940,79,ID,10.67,81.15
425,casma,-41.01,-73.12,90,1565579185,100,CL,2.24,42.8
426,artigas,-30.4,-56.47,95,1565579187,94,UY,3.94,54.7
427,lagoa,39.05,-27.98,10,1565579188,81,PT,11.52,68.74
428,kolyvan,55.31,82.74,0,1565579189,77,RU,2.24,62.6
429,kieta,-6.22,155.63,73,1565579190,72,PG,6.42,82.42
430,acarau,-2.89,-40.12,0,1565579192,80,BR,8.37,73.95
431,cayenne,4.93,-52.33,0,1565578960,94,GF,2.68,75.2
432,buchanan,5.88,-10.05,22,1565579194,84,LR,14.16,76.47
433,teeli,51.03,90.23,0,1565579195,66,RU,5.37,52.72
434,ypsonas,34.69,32.96,0,1565579197,78,CY,2.24,75.2
435,tsiroanomandidy,-18.77,46.03,0,1565579198,86,MG,1.61,55.95
436,nur,52.67,22.32,0,1565579200,86,PL,6.29,61.17
437,tecate,32.57,-116.63,20,1565579201,82,MX,6.93,72.0
438,hingatungan,10.58,125.19,90,1565579202,51,PH,8.66,87.45
439,awbari,26.59,12.78,0,1565579203,28,LY,9.24,75.75
440,makakilo city,21.35,-158.09,90,1565579205,69,US,6.93,89.6
441,torbay,47.67,-52.73,90,1565579122,82,CA,13.87,64.0
442,saint-joseph,-21.37,55.62,75,1565579207,83,RE,20.8,69.8
443,maragogi,-9.01,-35.22,23,1565579006,96,BR,3.29,69.1
444,morant bay,17.88,-76.41,20,1565579209,58,JM,17.22,86.0
445,ilebo,-4.32,20.58,99,1565579211,79,CD,1.9,74.32
446,pecos,31.42,-103.49,75,1565579212,51,US,16.11,89.01
447,shar,49.59,81.05,6,1565579213,34,KZ,8.12,72.52
448,kloulklubed,7.04,134.26,75,1565579215,70,PW,12.75,86.0
449,fuerte olimpo,-21.04,-57.87,15,1565579216,43,PY,6.17,72.52
450,pipri,19.8,75.53,75,1565579217,88,IN,4.7,73.4
451,bara,10.37,10.73,100,1565579218,95,NG,6.46,71.62
452,ormara,25.21,64.64,100,1565579220,76,PK,1.39,82.6
453,asind,25.73,74.33,52,1565579221,80,IN,14.07,79.54
454,vanimo,-2.67,141.3,95,1565579222,77,PG,12.73,81.7
455,sayhat,26.49,50.04,0,1565579223,32,SA,11.41,93.2
456,sao jose da coroa grande,-8.9,-35.15,23,1565579225,96,BR,3.29,69.1
457,namatanai,-3.67,152.43,0,1565579226,74,PG,7.61,81.52
458,paso de los toros,-32.82,-56.52,97,1565579227,87,UY,4.21,54.52
459,ostrovnoy,68.05,39.51,83,1565579229,72,RU,20.76,45.34
460,tual,-5.67,132.75,42,1565579230,82,ID,22.08,76.84
461,hirara,24.8,125.28,75,1565579231,84,JP,9.17,87.8
462,plettenberg bay,-34.05,23.37,60,1565579232,77,ZA,9.57,49.47
463,magdalena,14.2,121.43,75,1565579234,79,PH,17.22,89.01
464,ghanzi,-21.57,21.78,0,1565579235,28,BW,8.01,55.95
465,sarangani,5.4,125.46,24,1565579236,75,PH,5.21,81.87
466,tautira,-17.73,-149.15,20,1565579238,66,PF,6.93,86.0
467,kapit,2.02,112.93,100,1565579239,47,MY,1.54,92.85
468,monze,-16.28,27.48,0,1565579240,64,ZM,2.21,51.45
469,barmer,25.75,71.38,10,1565579229,72,IN,13.47,81.34
470,sungaipenuh,-2.08,101.38,32,1565579243,60,ID,3.36,83.5
471,necochea,-38.55,-58.74,67,1565578990,86,AR,8.23,41.0
472,kandrian,-6.22,149.55,94,1565579246,87,PG,7.81,79.54
473,dukat,62.55,155.55,100,1565579247,47,RU,11.16,59.74
474,ust-maya,60.42,134.53,97,1565579248,71,RU,1.88,64.24
475,xai-xai,-25.05,33.64,0,1565579250,52,MZ,8.63,67.12
476,atikokan,48.76,-91.62,8,1565579251,63,CA,4.23,57.4
477,viedma,-40.81,-63.0,100,1565578974,77,AR,18.54,42.64
478,okhotsk,59.38,143.3,100,1565579253,95,RU,6.02,54.15
479,latung,5.5,120.88,22,1565579255,78,PH,11.77,82.24
480,buala,-8.14,159.59,97,1565579256,77,SB,8.93,83.32
481,pacific grove,36.62,-121.92,1,1565579257,59,US,5.82,78.8
482,ilulissat,69.22,-51.1,20,1565579258,34,GL,5.82,51.8
483,oranjestad,12.52,-70.03,20,1565579125,74,AW,24.16,84.2
484,gumdag,39.21,54.59,8,1565579261,29,TM,3.74,76.84
485,amposta,40.71,0.58,100,1565579263,100,ES,3.36,73.0
486,yulara,-25.24,130.99,0,1565579264,39,AU,13.87,62.6
487,wanning,18.8,110.4,0,1565579265,57,CN,4.12,89.97
488,altay,47.87,88.12,0,1565579266,34,CN,4.27,62.25
489,hoopstad,-27.83,25.91,62,1565579268,19,ZA,4.76,43.0
490,tarauaca,-8.16,-70.77,21,1565579269,61,BR,0.89,74.85
491,agadir,30.42,-9.6,0,1565579270,82,MA,6.93,66.2
492,oranjemund,-28.55,16.43,0,1565579272,88,NA,10.83,54.87
493,rawson,-43.3,-65.1,92,1565579273,64,AR,12.12,37.24
494,la ferte-bernard,48.19,0.65,0,1565579274,93,FR,2.24,55.4
495,camacha,33.08,-16.33,40,1565579275,73,PT,12.75,71.6
496,patti,31.28,74.86,20,1565579277,94,IN,4.76,86.0
497,mogzon,51.74,111.96,100,1565579278,95,RU,8.1,50.2
498,ganganagar,29.92,73.88,0,1565579279,50,IN,9.8,93.57
499,ixtapa,20.7,-105.2,90,1565579280,100,MX,4.7,80.01
500,galle,6.04,80.22,97,1565579282,80,LK,22.68,82.42
501,christchurch,-43.53,172.63,0,1565579283,76,NZ,5.82,57.0
502,wuxi,31.57,120.29,0,1565579239,55,CN,18.88,91.0
503,zambezi,-13.54,23.1,76,1565579286,50,ZM,5.46,55.05
504,requena,39.49,-1.1,0,1565579287,83,ES,4.7,78.01
505,aksarka,66.56,67.8,100,1565579288,94,RU,14.58,46.05
506,cloquet,46.72,-92.46,1,1565579289,72,US,2.77,70.0
507,yauco,18.04,-66.85,0,1565579291,89,PR,9.93,81.0
508,hammerfest,70.66,23.68,75,1565579292,93,NO,5.82,53.6
509,tezu,27.92,96.17,9,1565579293,49,IN,2.59,90.7
510,calvinia,-31.47,19.78,59,1565579294,90,ZA,2.66,39.57
511,dauphin,51.15,-100.05,1,1565579097,63,CA,4.7,62.6
512,cochrane,51.18,-114.47,90,1565579129,93,CA,6.93,59.0
513,dekar,-21.53,21.93,0,1565579298,28,BW,8.01,55.95
514,kachiry,53.07,76.1,47,1565579299,37,KZ,6.64,75.22
515,mabaruma,8.2,-59.78,73,1565579301,97,GY,2.06,73.77
516,hailar,49.2,119.7,0,1565579302,61,CN,3.36,69.64
517,chicama,-7.84,-79.15,90,1565579303,87,PE,9.17,60.8
518,pingliang,35.54,106.69,0,1565579304,35,CN,10.69,73.42
519,kurush,41.28,47.83,75,1565579306,72,RU,5.21,68.0
520,cameta,-2.24,-49.5,12,1565579198,86,BR,2.57,74.32
521,poya,-21.35,165.15,100,1565579308,66,NC,6.22,70.54
522,sao miguel do araguaia,-13.28,-50.16,0,1565579309,45,BR,3.15,74.32
523,general roca,-39.03,-67.58,0,1565579311,65,AR,17.76,44.6
524,manavalakurichi,8.13,77.3,75,1565579312,88,IN,5.82,77.0
525,vitim,59.45,112.56,100,1565579313,77,RU,13.35,59.74
